epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       401, 89164.451,    0.005,       0.00071797,       2.5005e-06,       0.00072047,     0.000612,      0.00102,     0.000532,     0.000599,     0.000711,     0.000717,      0.00064,     0.000999,     0.000798,      0.00104,      0.00114,     0.000994,      0.00292,     4.86e-05,       0.00031677,       3.6035e-08,        0.0003168,     0.000301,     0.000676,     0.000285,     0.000279,     0.000316,     0.000355,     0.000309,     0.000698,     0.000432,     0.000643,     0.000767,     0.000635,     0.000331,     5.51e-06
       402, 89426.865,    0.005,       0.00067559,       3.8229e-06,       0.00067942,      0.00057,     0.000985,     0.000489,     0.000544,     0.000674,     0.000659,     0.000591,     0.000973,      0.00074,     0.000997,      0.00111,     0.000955,      0.00363,     6.06e-05,        0.0003144,       4.2911e-08,       0.00031445,     0.000298,     0.000674,     0.000281,     0.000271,     0.000314,     0.000347,     0.000304,     0.000696,     0.000425,     0.000641,     0.000761,     0.000631,     0.000386,     6.44e-06
       403, 89689.171,    0.005,       0.00078339,       3.1763e-06,       0.00078656,     0.000639,      0.00106,     0.000528,       0.0006,     0.000794,     0.000699,     0.000655,      0.00101,     0.000817,      0.00113,      0.00115,      0.00103,      0.00317,     5.28e-05,       0.00031586,       5.1874e-08,       0.00031591,     0.000295,     0.000675,     0.000279,     0.000269,     0.000311,     0.000347,     0.000302,     0.000699,     0.000422,      0.00064,     0.000766,     0.000632,     0.000433,     7.22e-06
       404, 89951.708,    0.005,       0.00086649,       3.1017e-06,       0.00086959,     0.000685,      0.00112,     0.000565,     0.000668,     0.000841,     0.000803,     0.000719,      0.00105,     0.000921,       0.0012,      0.00127,      0.00111,      0.00316,     5.27e-05,       0.00031647,       3.3399e-08,        0.0003165,     0.000296,     0.000676,     0.000276,     0.000272,     0.000317,     0.000347,     0.000303,     0.000698,     0.000429,     0.000643,     0.000767,     0.000634,     0.000318,      5.3e-06
       405, 90213.838,    0.005,       0.00069758,       1.9724e-06,       0.00069956,     0.000603,        0.001,     0.000514,     0.000539,     0.000718,      0.00071,      0.00062,     0.000969,      0.00072,      0.00104,      0.00114,     0.000969,      0.00254,     4.23e-05,       0.00031963,        3.663e-08,       0.00031966,     0.000293,     0.000679,     0.000275,     0.000269,     0.000312,     0.000345,       0.0003,     0.000705,     0.000426,     0.000642,     0.000771,     0.000636,     0.000336,     5.61e-06
       406, 90476.042,    0.005,       0.00069063,        2.052e-06,       0.00069268,      0.00057,     0.000997,     0.000497,     0.000517,     0.000666,     0.000656,     0.000584,     0.000994,     0.000718,     0.000999,      0.00112,     0.000957,      0.00268,     4.47e-05,       0.00031357,       3.6383e-08,       0.00031361,      0.00029,     0.000673,     0.000274,     0.000271,     0.000308,      0.00034,     0.000298,     0.000697,     0.000426,     0.000637,     0.000762,      0.00063,      0.00032,     5.34e-06
       407, 90740.952,    0.005,       0.00077896,       2.5056e-06,       0.00078146,     0.000645,      0.00106,      0.00053,     0.000564,     0.000807,     0.000711,     0.000653,      0.00101,     0.000759,      0.00114,      0.00115,      0.00101,      0.00281,     4.68e-05,       0.00030974,       4.1788e-08,       0.00030978,     0.000298,     0.000669,      0.00028,     0.000267,     0.000318,     0.000346,     0.000303,     0.000688,     0.000421,     0.000642,     0.000752,     0.000626,     0.000358,     5.96e-06
       408, 91010.002,    0.005,       0.00075063,       2.7207e-06,       0.00075335,     0.000616,      0.00104,     0.000516,     0.000647,     0.000738,     0.000722,     0.000656,     0.000998,     0.000869,      0.00108,      0.00116,      0.00103,      0.00309,     5.15e-05,       0.00030906,       3.7298e-08,        0.0003091,     0.000294,     0.000668,     0.000277,      0.00027,     0.000312,     0.000342,       0.0003,     0.000688,     0.000422,     0.000638,     0.000756,     0.000626,      0.00032,     5.34e-06
       409, 91280.135,    0.005,       0.00083419,       4.2577e-06,       0.00083844,     0.000672,      0.00109,     0.000553,     0.000643,     0.000839,     0.000716,     0.000688,      0.00103,     0.000868,      0.00119,      0.00116,      0.00106,      0.00374,     6.23e-05,        0.0003146,       3.7899e-08,       0.00031464,     0.000296,     0.000674,     0.000278,      0.00027,     0.000316,     0.000348,     0.000303,     0.000696,     0.000421,     0.000642,     0.000766,     0.000631,     0.000323,     5.39e-06
       410, 91551.582,    0.005,       0.00075821,       2.4409e-06,       0.00076065,     0.000621,      0.00104,       0.0005,     0.000619,     0.000781,     0.000716,     0.000654,     0.000967,     0.000838,      0.00114,      0.00115,      0.00102,      0.00271,     4.52e-05,       0.00031752,       4.0666e-08,       0.00031756,     0.000294,     0.000677,     0.000275,     0.000277,     0.000314,     0.000344,     0.000302,       0.0007,      0.00043,     0.000643,     0.000767,     0.000635,     0.000332,     5.54e-06
       411, 91820.614,    0.005,       0.00068401,        3.178e-06,       0.00068719,     0.000586,     0.000992,     0.000497,     0.000556,       0.0007,     0.000685,      0.00061,     0.000969,     0.000746,      0.00102,      0.00111,     0.000962,      0.00332,     5.54e-05,       0.00030731,       3.5329e-08,       0.00030734,     0.000293,     0.000666,     0.000277,     0.000275,      0.00031,     0.000343,     0.000301,     0.000687,     0.000425,     0.000636,      0.00075,     0.000624,     0.000339,     5.65e-06
       412, 92085.106,    0.005,       0.00074877,       2.9539e-06,       0.00075173,     0.000628,      0.00104,     0.000528,     0.000611,     0.000761,     0.000708,     0.000652,        0.001,     0.000806,      0.00109,      0.00114,      0.00101,      0.00317,     5.28e-05,       0.00031099,       3.6731e-08,       0.00031103,     0.000296,      0.00067,     0.000277,     0.000273,     0.000316,      0.00035,     0.000304,      0.00069,     0.000425,     0.000641,      0.00076,     0.000629,     0.000307,     5.12e-06
       413, 92352.797,    0.005,       0.00096492,       3.9081e-06,       0.00096882,     0.000735,      0.00118,     0.000578,     0.000684,     0.000956,     0.000796,     0.000753,      0.00105,     0.000957,      0.00135,      0.00126,      0.00115,      0.00348,     5.81e-05,       0.00031094,       3.5218e-08,       0.00031098,       0.0003,      0.00067,     0.000279,     0.000268,     0.000323,     0.000349,     0.000305,     0.000688,     0.000421,     0.000646,     0.000753,     0.000627,     0.000313,     5.22e-06
       414, 92618.085,    0.005,       0.00074896,       2.3775e-06,       0.00075133,     0.000611,      0.00104,     0.000515,     0.000571,     0.000741,     0.000683,     0.000627,        0.001,     0.000761,      0.00109,      0.00114,     0.000998,      0.00279,     4.64e-05,       0.00030574,       3.6304e-08,       0.00030578,     0.000296,     0.000664,     0.000277,     0.000268,     0.000318,     0.000342,     0.000301,     0.000683,     0.000421,     0.000639,     0.000745,     0.000622,     0.000342,      5.7e-06
       415, 92883.936,    0.005,       0.00073054,       2.3836e-06,       0.00073292,     0.000619,      0.00103,     0.000529,     0.000585,     0.000745,     0.000662,      0.00063,        0.001,     0.000776,      0.00106,      0.00109,     0.000983,      0.00297,     4.95e-05,       0.00030632,       3.6755e-08,       0.00030636,     0.000295,     0.000665,     0.000278,     0.000268,     0.000314,     0.000342,     0.000301,     0.000686,     0.000423,     0.000635,      0.00075,     0.000623,     0.000317,     5.28e-06
       416, 93150.934,    0.005,        0.0006993,       1.9601e-06,       0.00070126,     0.000586,        0.001,     0.000515,     0.000524,     0.000675,     0.000705,     0.000605,     0.000996,      0.00071,      0.00101,      0.00116,     0.000968,      0.00236,     3.94e-05,        0.0003069,        3.754e-08,       0.00030694,     0.000292,     0.000666,     0.000275,     0.000271,      0.00031,     0.000342,     0.000299,     0.000688,     0.000425,     0.000633,     0.000753,     0.000625,     0.000337,     5.62e-06
       417, 93417.139,    0.005,       0.00066257,       1.7376e-06,        0.0006643,     0.000588,     0.000977,       0.0005,     0.000579,       0.0007,     0.000682,     0.000615,     0.000946,     0.000781,      0.00102,      0.00109,     0.000957,      0.00234,     3.89e-05,       0.00030543,       3.9267e-08,       0.00030547,     0.000298,     0.000664,      0.00028,     0.000279,     0.000315,      0.00035,     0.000306,     0.000683,      0.00043,     0.000636,      0.00075,     0.000625,     0.000365,     6.08e-06
       418, 93683.692,    0.005,       0.00080129,       3.4405e-06,       0.00080473,     0.000643,      0.00107,     0.000525,     0.000601,     0.000795,     0.000768,     0.000672,     0.000995,     0.000819,      0.00117,      0.00122,      0.00105,      0.00321,     5.34e-05,       0.00030703,       3.3952e-08,       0.00030706,     0.000296,     0.000666,     0.000278,     0.000269,     0.000316,     0.000347,     0.000302,     0.000685,      0.00042,     0.000637,     0.000756,     0.000624,      0.00029,     4.83e-06
       419, 93948.314,    0.005,       0.00072323,       1.7895e-06,       0.00072502,      0.00061,      0.00102,     0.000505,     0.000589,     0.000747,     0.000707,     0.000637,      0.00098,     0.000792,      0.00108,      0.00113,     0.000993,      0.00248,     4.13e-05,       0.00030337,         3.92e-08,       0.00030341,     0.000295,     0.000662,     0.000278,     0.000269,     0.000312,     0.000347,     0.000301,     0.000681,     0.000415,     0.000633,      0.00075,      0.00062,     0.000328,     5.46e-06
       420, 94215.491,    0.005,       0.00067223,       2.5114e-06,       0.00067474,     0.000586,     0.000984,     0.000489,      0.00056,     0.000711,     0.000683,     0.000611,     0.000948,     0.000742,      0.00103,       0.0011,     0.000956,      0.00277,     4.62e-05,       0.00030266,       5.2631e-08,       0.00030271,     0.000291,     0.000661,     0.000275,     0.000267,     0.000308,     0.000338,     0.000297,     0.000682,     0.000415,      0.00063,     0.000747,     0.000619,     0.000376,     6.27e-06
       421, 94480.117,    0.005,       0.00076749,       2.1256e-06,       0.00076962,     0.000632,      0.00105,     0.000527,     0.000582,     0.000773,     0.000718,      0.00065,        0.001,     0.000781,      0.00111,      0.00115,      0.00101,      0.00265,     4.42e-05,       0.00029987,       3.7723e-08,       0.00029991,     0.000298,     0.000658,     0.000278,     0.000273,      0.00032,     0.000343,     0.000303,     0.000674,     0.000417,     0.000637,     0.000737,     0.000616,     0.000321,     5.36e-06
       422, 94746.536,    0.005,       0.00071492,       3.0887e-06,       0.00071801,     0.000611,      0.00101,     0.000509,     0.000578,     0.000746,     0.000702,     0.000634,     0.000961,      0.00078,      0.00107,      0.00111,      0.00098,      0.00318,      5.3e-05,       0.00030045,       6.2853e-08,       0.00030052,     0.000293,     0.000659,     0.000275,     0.000269,     0.000312,     0.000342,     0.000299,     0.000677,     0.000412,     0.000633,     0.000742,     0.000616,     0.000405,     6.75e-06
       423, 95013.205,    0.005,       0.00079533,       2.5763e-06,       0.00079791,     0.000657,      0.00107,      0.00054,     0.000682,      0.00081,     0.000742,     0.000693,     0.000997,     0.000907,      0.00117,      0.00116,      0.00106,      0.00291,     4.84e-05,       0.00029853,       4.0388e-08,       0.00029857,     0.000296,     0.000656,     0.000279,     0.000269,     0.000314,     0.000346,     0.000302,     0.000673,     0.000411,     0.000633,     0.000737,     0.000614,     0.000334,     5.57e-06
       424, 95280.614,    0.005,       0.00077403,       2.4573e-06,       0.00077649,     0.000655,      0.00106,     0.000552,     0.000681,     0.000785,     0.000754,     0.000693,      0.00101,     0.000894,      0.00111,      0.00116,      0.00105,      0.00293,     4.88e-05,       0.00030168,       3.6663e-08,       0.00030171,     0.000295,      0.00066,     0.000278,     0.000275,     0.000314,     0.000346,     0.000303,     0.000677,     0.000421,     0.000636,     0.000743,     0.000619,     0.000331,     5.52e-06
       425, 95549.056,    0.005,        0.0006552,       1.8942e-06,       0.00065709,     0.000576,     0.000971,     0.000501,     0.000568,     0.000673,      0.00065,     0.000598,     0.000954,     0.000766,     0.000993,      0.00106,     0.000944,      0.00256,     4.27e-05,       0.00029577,       4.1567e-08,       0.00029582,     0.000299,     0.000653,     0.000283,     0.000285,     0.000314,     0.000352,     0.000309,     0.000668,     0.000428,     0.000632,     0.000733,     0.000615,     0.000376,     6.26e-06
       426, 95816.943,    0.005,        0.0008411,       1.9094e-06,       0.00084301,     0.000657,      0.00107,     0.000539,     0.000647,     0.000823,     0.000696,     0.000676,     0.000998,     0.000864,      0.00116,      0.00113,      0.00104,      0.00254,     4.24e-05,       0.00029985,       3.8482e-08,       0.00029988,     0.000298,     0.000658,     0.000277,     0.000272,     0.000322,     0.000344,     0.000304,     0.000672,     0.000419,     0.000639,     0.000736,     0.000617,     0.000316,     5.26e-06
       427, 96082.498,    0.005,       0.00081066,       2.6878e-06,       0.00081335,     0.000676,      0.00108,     0.000561,      0.00068,     0.000821,     0.000796,     0.000715,      0.00101,      0.00092,      0.00117,      0.00121,      0.00108,      0.00298,     4.97e-05,       0.00029743,       4.0827e-08,       0.00029747,     0.000297,     0.000655,     0.000278,     0.000276,     0.000318,     0.000344,     0.000304,      0.00067,     0.000421,     0.000636,     0.000733,     0.000615,     0.000361,     6.02e-06
       428, 96346.349,    0.005,       0.00065935,       2.0127e-06,       0.00066137,     0.000562,     0.000975,      0.00049,     0.000513,     0.000655,     0.000648,     0.000576,     0.000962,     0.000722,     0.000985,      0.00111,     0.000945,      0.00242,     4.04e-05,       0.00029726,       4.0333e-08,        0.0002973,     0.000293,     0.000655,     0.000276,     0.000271,     0.000312,     0.000339,     0.000299,     0.000671,     0.000417,     0.000634,     0.000732,     0.000613,     0.000319,     5.32e-06
       429, 96610.366,    0.005,       0.00071388,       2.7573e-06,       0.00071664,      0.00062,      0.00101,     0.000532,     0.000593,     0.000733,     0.000719,     0.000644,      0.00098,       0.0008,      0.00106,      0.00113,     0.000992,      0.00304,     5.07e-05,       0.00029777,       4.0077e-08,       0.00029781,     0.000296,     0.000655,     0.000278,     0.000276,     0.000314,      0.00035,     0.000305,     0.000671,     0.000425,     0.000633,     0.000741,     0.000617,     0.000337,     5.62e-06
       430, 96882.504,    0.005,       0.00068484,       1.7319e-06,       0.00068657,     0.000599,     0.000993,     0.000517,     0.000575,     0.000708,     0.000658,     0.000615,      0.00097,     0.000776,      0.00103,      0.00108,     0.000964,      0.00239,     3.98e-05,       0.00029702,       4.4009e-08,       0.00029706,     0.000295,     0.000655,     0.000278,     0.000274,     0.000311,     0.000347,     0.000302,      0.00067,     0.000418,     0.000633,     0.000739,     0.000615,     0.000346,     5.77e-06
       431, 97147.198,    0.005,       0.00063444,       3.1458e-06,       0.00063758,     0.000567,     0.000956,     0.000481,     0.000566,     0.000675,     0.000663,     0.000597,     0.000938,     0.000761,     0.000978,      0.00105,     0.000933,       0.0032,     5.33e-05,       0.00029587,       5.1165e-08,       0.00029592,     0.000292,     0.000653,     0.000275,     0.000271,     0.000308,     0.000341,     0.000299,      0.00067,     0.000417,      0.00063,     0.000735,     0.000613,     0.000375,     6.25e-06
       432, 97412.149,    0.005,       0.00094618,       2.3165e-06,       0.00094849,     0.000725,      0.00117,     0.000604,      0.00073,     0.000877,     0.000858,     0.000767,      0.00106,      0.00104,      0.00128,      0.00133,      0.00118,      0.00266,     4.43e-05,       0.00029826,       3.7778e-08,        0.0002983,     0.000299,     0.000656,     0.000278,     0.000282,     0.000323,     0.000346,     0.000307,     0.000669,     0.000427,     0.000639,     0.000732,     0.000617,     0.000324,     5.39e-06
       433, 97676.268,    0.005,       0.00069472,       1.4598e-06,       0.00069618,     0.000611,        0.001,     0.000507,     0.000679,      0.00074,     0.000704,     0.000657,     0.000944,     0.000946,      0.00106,      0.00112,      0.00102,      0.00226,     3.77e-05,       0.00029291,       4.0088e-08,       0.00029295,     0.000297,      0.00065,     0.000279,     0.000283,     0.000316,     0.000345,     0.000306,     0.000666,     0.000426,     0.000629,     0.000725,     0.000612,     0.000358,     5.96e-06
       434, 97938.811,    0.005,       0.00074249,       1.7858e-06,       0.00074428,      0.00063,      0.00103,     0.000519,     0.000705,     0.000777,     0.000671,     0.000668,     0.000983,      0.00093,       0.0011,      0.00111,      0.00103,      0.00245,     4.08e-05,       0.00029903,       5.6231e-08,       0.00029908,     0.000293,     0.000657,     0.000274,     0.000281,     0.000312,     0.000346,     0.000303,     0.000674,     0.000428,     0.000632,     0.000743,     0.000619,     0.000409,     6.82e-06
       435, 98201.533,    0.005,        0.0007455,       2.8751e-06,       0.00074837,     0.000637,      0.00103,     0.000521,     0.000718,     0.000776,     0.000757,     0.000693,     0.000965,     0.000983,      0.00111,      0.00115,      0.00105,      0.00296,     4.93e-05,       0.00029475,       3.8465e-08,       0.00029479,     0.000296,     0.000652,     0.000279,     0.000283,     0.000312,     0.000351,     0.000307,     0.000668,     0.000427,     0.000629,     0.000736,     0.000615,     0.000324,     5.39e-06
       436, 98464.289,    0.005,       0.00072845,       2.1102e-06,       0.00073056,     0.000626,      0.00102,     0.000508,     0.000692,      0.00078,     0.000701,      0.00067,     0.000953,     0.000912,      0.00111,      0.00111,      0.00102,      0.00278,     4.63e-05,       0.00029294,       3.8992e-08,       0.00029298,       0.0003,      0.00065,     0.000283,      0.00028,     0.000318,     0.000349,     0.000307,     0.000664,      0.00043,     0.000631,     0.000728,     0.000613,     0.000346,     5.76e-06
       437, 98727.037,    0.005,       0.00073573,       1.7275e-06,       0.00073746,     0.000644,      0.00103,     0.000543,     0.000616,     0.000779,     0.000726,     0.000666,     0.000976,     0.000811,       0.0011,      0.00112,        0.001,       0.0025,     4.16e-05,       0.00029169,       3.8227e-08,       0.00029173,     0.000298,     0.000649,     0.000282,     0.000271,     0.000316,     0.000344,     0.000303,     0.000665,     0.000421,     0.000626,     0.000725,     0.000609,     0.000334,     5.57e-06
       438, 98989.735,    0.005,       0.00069969,       2.4711e-06,       0.00070217,     0.000627,        0.001,     0.000517,     0.000659,     0.000771,     0.000699,     0.000662,     0.000934,     0.000876,      0.00109,       0.0011,        0.001,      0.00289,     4.81e-05,        0.0002938,       4.0804e-08,       0.00029384,       0.0003,     0.000651,     0.000283,     0.000279,     0.000318,     0.000347,     0.000307,     0.000667,     0.000428,     0.000629,     0.000728,     0.000613,     0.000366,      6.1e-06
       439, 99252.491,    0.005,       0.00067473,       1.7036e-06,       0.00067643,     0.000585,     0.000986,     0.000493,     0.000546,     0.000714,     0.000632,     0.000596,     0.000957,     0.000737,      0.00103,      0.00105,     0.000944,      0.00247,     4.11e-05,       0.00028913,       3.7233e-08,       0.00028916,     0.000289,     0.000646,     0.000273,     0.000272,     0.000305,     0.000336,     0.000296,     0.000664,     0.000419,     0.000621,     0.000724,     0.000607,     0.000323,     5.39e-06
       440, 99515.139,    0.005,       0.00059465,        1.792e-06,       0.00059644,     0.000547,     0.000925,     0.000459,     0.000566,     0.000657,     0.000648,     0.000582,     0.000894,     0.000766,     0.000962,      0.00103,     0.000914,      0.00241,     4.01e-05,       0.00028984,       3.3524e-08,       0.00028987,     0.000288,     0.000647,     0.000271,     0.000273,     0.000305,     0.000341,     0.000297,     0.000663,     0.000425,     0.000623,     0.000731,     0.000611,     0.000302,     5.04e-06
       441, 99778.997,    0.005,       0.00066804,       2.0099e-06,       0.00067005,      0.00059,     0.000979,     0.000496,     0.000602,     0.000717,     0.000637,     0.000613,     0.000943,     0.000785,      0.00103,      0.00105,     0.000953,      0.00259,     4.32e-05,       0.00028505,       3.8846e-08,       0.00028508,     0.000288,     0.000642,     0.000271,     0.000271,     0.000305,     0.000337,     0.000296,     0.000655,     0.000419,     0.000623,     0.000717,     0.000604,     0.000312,      5.2e-06
       442, 100045.438,    0.005,       0.00097131,       3.9176e-06,       0.00097523,      0.00077,      0.00118,     0.000624,     0.000847,     0.000951,     0.000909,     0.000833,      0.00107,      0.00114,      0.00131,      0.00133,      0.00121,      0.00368,     6.14e-05,        0.0002903,       3.8856e-08,       0.00029034,     0.000301,     0.000647,      0.00028,     0.000292,     0.000324,     0.000353,     0.000312,     0.000658,     0.000438,     0.000633,     0.000724,     0.000613,     0.000339,     5.65e-06
       443, 100311.678,    0.005,       0.00071576,       3.2055e-06,       0.00071896,     0.000623,      0.00102,     0.000515,     0.000643,     0.000771,     0.000666,     0.000649,     0.000961,     0.000851,      0.00109,      0.00108,     0.000996,      0.00338,     5.64e-05,        0.0002893,       5.1663e-08,       0.00028935,      0.00029,     0.000646,     0.000271,      0.00028,     0.000308,     0.000343,     0.000301,     0.000662,     0.000427,     0.000623,     0.000728,      0.00061,     0.000365,     6.08e-06
       444, 100576.086,    0.005,       0.00063832,       3.7078e-06,       0.00064202,     0.000573,     0.000959,     0.000488,     0.000573,     0.000683,     0.000649,     0.000598,     0.000936,     0.000769,     0.000988,      0.00106,     0.000939,      0.00348,      5.8e-05,       0.00028995,       3.7518e-08,       0.00028999,     0.000291,     0.000647,     0.000274,     0.000276,     0.000308,     0.000345,     0.000301,     0.000662,     0.000427,     0.000625,     0.000728,      0.00061,     0.000352,     5.86e-06
       445, 100840.320,    0.005,        0.0006582,       2.7801e-06,       0.00066098,      0.00058,     0.000974,     0.000503,     0.000532,     0.000687,     0.000645,     0.000591,     0.000963,     0.000709,     0.000997,      0.00105,     0.000929,      0.00309,     5.16e-05,       0.00028586,       3.6166e-08,        0.0002859,     0.000291,     0.000642,     0.000274,     0.000269,     0.000307,     0.000344,     0.000298,     0.000658,     0.000417,      0.00062,     0.000723,     0.000604,     0.000326,     5.43e-06
       446, 101103.040,    0.005,       0.00067775,       2.2182e-06,       0.00067997,     0.000588,     0.000988,     0.000499,     0.000616,     0.000707,      0.00063,     0.000613,     0.000953,     0.000847,      0.00104,      0.00105,     0.000971,      0.00279,     4.66e-05,       0.00028696,       3.3405e-08,       0.00028699,     0.000293,     0.000643,     0.000276,     0.000283,      0.00031,     0.000341,     0.000303,     0.000657,     0.000433,     0.000624,      0.00072,     0.000609,      0.00031,     5.16e-06
       447, 101365.498,    0.005,       0.00069959,       1.3801e-06,       0.00070097,     0.000629,        0.001,     0.000524,     0.000687,      0.00076,     0.000725,     0.000674,     0.000952,       0.0009,      0.00106,      0.00111,      0.00101,      0.00229,     3.81e-05,       0.00028457,       4.4391e-08,       0.00028461,     0.000294,     0.000641,     0.000276,     0.000288,      0.00031,     0.000345,     0.000305,     0.000653,     0.000435,     0.000623,     0.000716,     0.000607,     0.000382,     6.36e-06
       448, 101627.854,    0.005,       0.00059765,       2.6242e-06,       0.00060027,     0.000552,     0.000928,     0.000476,     0.000548,     0.000647,     0.000639,     0.000578,     0.000916,     0.000737,     0.000941,      0.00102,     0.000904,      0.00297,     4.95e-05,       0.00028459,       4.1992e-08,       0.00028463,     0.000289,     0.000641,     0.000273,     0.000278,     0.000304,     0.000342,     0.000299,     0.000656,      0.00043,     0.000619,      0.00072,     0.000606,      0.00038,     6.33e-06
       449, 101890.241,    0.005,       0.00064777,       2.3814e-06,       0.00065015,     0.000578,     0.000966,     0.000499,     0.000555,     0.000684,     0.000649,     0.000597,     0.000949,     0.000738,     0.000993,      0.00105,     0.000933,      0.00277,     4.62e-05,       0.00028383,       3.5807e-08,       0.00028386,     0.000284,      0.00064,     0.000267,     0.000268,     0.000302,     0.000335,     0.000293,     0.000655,     0.000419,     0.000619,     0.000721,     0.000604,     0.000325,     5.41e-06
       450, 102152.821,    0.005,       0.00068453,       2.6383e-06,       0.00068717,     0.000602,     0.000993,     0.000494,     0.000573,     0.000753,      0.00066,      0.00062,     0.000933,     0.000794,      0.00108,      0.00106,     0.000967,      0.00288,     4.81e-05,       0.00027778,       3.4808e-08,       0.00027782,      0.00029,     0.000633,     0.000273,     0.000265,     0.000307,     0.000341,     0.000297,     0.000646,     0.000408,     0.000617,     0.000706,     0.000594,     0.000319,     5.32e-06
       451, 102419.064,    0.005,       0.00062896,       3.5696e-06,       0.00063253,     0.000558,      0.00095,     0.000478,     0.000567,     0.000663,     0.000617,     0.000581,     0.000938,     0.000762,     0.000971,      0.00101,     0.000921,      0.00324,      5.4e-05,       0.00028092,       3.7261e-08,       0.00028095,     0.000289,     0.000637,     0.000274,     0.000271,     0.000305,     0.000341,     0.000298,     0.000652,     0.000413,     0.000616,     0.000712,     0.000598,     0.000334,     5.56e-06
       452, 102688.541,    0.005,       0.00078881,       3.6508e-06,       0.00079246,     0.000676,      0.00107,     0.000574,      0.00061,     0.000817,     0.000746,     0.000687,      0.00102,     0.000807,      0.00114,      0.00115,      0.00103,      0.00343,     5.71e-05,       0.00027945,        3.986e-08,       0.00027949,      0.00029,     0.000635,     0.000274,     0.000277,     0.000307,     0.000339,     0.000299,      0.00065,     0.000417,     0.000617,     0.000705,     0.000597,     0.000334,     5.57e-06
       453, 102957.678,    0.005,       0.00064166,       3.1739e-06,       0.00064483,     0.000585,     0.000961,     0.000509,     0.000555,     0.000684,      0.00066,     0.000602,     0.000945,     0.000737,     0.000985,      0.00104,     0.000928,      0.00331,     5.52e-05,       0.00027565,       3.8029e-08,       0.00027569,     0.000288,     0.000631,     0.000273,     0.000274,     0.000303,     0.000338,     0.000297,     0.000647,     0.000418,      0.00061,     0.000701,     0.000594,     0.000329,     5.48e-06
       454, 103224.113,    0.005,       0.00062434,       2.8731e-06,       0.00062721,      0.00057,     0.000948,     0.000479,     0.000575,     0.000689,     0.000632,     0.000594,     0.000925,      0.00076,     0.000983,      0.00102,     0.000922,      0.00298,     4.97e-05,       0.00027991,       5.7687e-08,       0.00027997,     0.000285,     0.000636,     0.000267,     0.000271,     0.000303,     0.000336,     0.000294,     0.000653,     0.000416,     0.000612,      0.00071,     0.000598,       0.0004,     6.67e-06
       455, 103490.737,    0.005,       0.00076531,       4.4131e-06,       0.00076973,     0.000666,      0.00105,     0.000551,     0.000684,     0.000815,     0.000749,       0.0007,     0.000977,     0.000906,      0.00114,      0.00114,      0.00104,      0.00375,     6.26e-05,       0.00028061,       4.0512e-08,       0.00028065,     0.000293,     0.000636,     0.000275,     0.000285,      0.00031,     0.000351,     0.000305,     0.000651,     0.000428,     0.000616,     0.000711,     0.000601,     0.000353,     5.88e-06
       456, 103756.959,    0.005,       0.00077571,       3.4414e-06,       0.00077916,     0.000665,      0.00106,     0.000559,     0.000653,     0.000811,     0.000722,     0.000686,        0.001,     0.000882,      0.00114,      0.00112,      0.00104,       0.0033,      5.5e-05,       0.00028295,       3.8992e-08,       0.00028299,      0.00029,     0.000639,     0.000271,     0.000274,      0.00031,      0.00034,     0.000299,     0.000656,     0.000418,     0.000617,     0.000713,     0.000601,     0.000353,     5.88e-06
       457, 104024.469,    0.005,       0.00064558,       4.3591e-06,       0.00064994,     0.000584,     0.000964,     0.000515,     0.000541,     0.000681,     0.000624,      0.00059,      0.00096,     0.000719,     0.000979,      0.00101,     0.000918,      0.00376,     6.27e-05,       0.00028327,       3.9481e-08,       0.00028331,     0.000286,      0.00064,     0.000269,     0.000269,     0.000304,     0.000339,     0.000295,     0.000659,     0.000413,     0.000613,     0.000715,       0.0006,     0.000338,     5.63e-06
       458, 104293.613,    0.005,       0.00064504,       2.2873e-06,       0.00064733,     0.000601,     0.000964,     0.000517,     0.000593,     0.000713,     0.000669,     0.000623,     0.000928,     0.000786,      0.00101,      0.00105,     0.000944,      0.00272,     4.53e-05,       0.00027855,       4.5527e-08,       0.00027859,     0.000291,     0.000634,     0.000273,     0.000272,      0.00031,     0.000341,     0.000299,     0.000649,     0.000412,     0.000614,     0.000707,     0.000596,     0.000385,     6.42e-06
       459, 104562.902,    0.005,       0.00068283,       3.5452e-06,       0.00068637,     0.000609,     0.000992,     0.000521,      0.00056,     0.000726,     0.000696,     0.000626,     0.000959,     0.000759,      0.00104,      0.00108,      0.00096,      0.00363,     6.05e-05,       0.00027799,       4.0023e-08,       0.00027803,     0.000286,     0.000633,     0.000268,     0.000267,     0.000305,     0.000332,     0.000293,      0.00065,      0.00041,     0.000611,     0.000706,     0.000594,      0.00033,     5.51e-06
